Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,25,10,8,1,1,21,7
2,Girona,25,10,8,1,1,24,13
3,Barcelona,24,10,7,3,0,22,10
4,Atlético,22,9,7,1,1,23,8
5,Real Sociedad,18,10,5,3,2,18,12
6,Athletic,17,10,5,2,3,16,10
7,Rayo Vallecano,16,10,4,4,2,12,13
8,Valencia,14,10,4,2,4,12,11
9,Real Betis,14,10,3,5,2,12,14
10,Osasuna,13,10,4,1,5,11,14
11,Getafe,11,10,2,5,3,13,16
12,Las Palmas,11,10,3,2,5,6,9
13,Sevilla,9,9,2,3,4,14,13
14,Villarreal,9,10,2,3,5,12,16
15,Cádiz,9,10,2,3,5,8,14
16,Deportivo Alavés,9,10,2,3,5,8,14
17,Mallorca,8,10,1,5,4,12,16
18,Celta,6,10,1,3,6,10,18
19,Granada,6,10,1,3,6,15,25
20,Almería,3,10,0,3,7,13,29
