Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Girona,19,7,6,1,0,18,8
2,Real Madrid,18,7,6,0,1,13,6
3,Barcelona,17,7,5,2,0,18,8
4,Ath Bilbao,14,7,4,2,1,13,6
5,Ath Madrid,13,6,4,1,1,15,5
6,Sociedad,12,7,3,3,1,13,10
7,Vallecano,11,7,3,2,2,7,9
8,Valencia,10,7,3,1,3,9,7
9,Cadiz,9,7,2,3,2,6,8
10,Betis,9,7,2,3,2,7,12
11,Getafe,8,7,2,2,3,10,13
12,Sevilla,7,6,2,1,3,11,9
13,Villarreal,7,7,2,1,4,10,13
14,Osasuna,7,7,2,1,4,7,10
15,Alaves,7,7,2,1,4,6,10
16,Mallorca,6,7,1,3,3,9,12
17,Celta,5,7,1,2,4,7,11
18,Las Palmas,5,7,1,2,4,2,6
19,Granada,4,7,1,1,5,10,18
20,Almeria,2,7,0,2,5,8,18
